jenis_pekerjaan,tahun,median,p10,p90,mean,std
PERTANIAN/PETERNAKAN,2029,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2030,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2031,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2032,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2033,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2034,1311.0,1311.0,1311.0,1311.0,0.0
PERTANIAN/PETERNAKAN,2035,1311.0,1311.0,1311.0,1311.0,0.0
"TENAGA
  KESEHATAN",2026,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2027,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2028,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2029,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2030,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2031,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2032,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2033,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2034,0.0,0.0,0.0,0.0,0.0
"TENAGA
  KESEHATAN",2035,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2026,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2027,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2028,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2029,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2030,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2031,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2032,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2033,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2034,0.0,0.0,0.0,0.0,0.0
"TENAGA
  PENGAJAR",2035,0.0,0.0,0.0,0.0,0.0
TENAGA KESEHATAN,2026,168302.1328757216,0.0,685769.0704438365,259878.62594986838,292366.9721050262
TENAGA KESEHATAN,2027,0.0,0.0,23271408.67385285,6782397.219063852,14322695.74943188
TENAGA KESEHATAN,2028,0.0,0.0,457099220.7158226,167298934.39054385,526830659.03916246
TENAGA KESEHATAN,2029,0.0,0.0,4858437056.237378,4034700635.265555,20090423431.806488
TENAGA KESEHATAN,2030,0.0,-0.0,3807348812.1498795,107865044319.85849,843421099171.8386
TENAGA KESEHATAN,2031,0.0,0.0,0.0,2617559720512.127,30671359375638.52
TENAGA KESEHATAN,2032,0.0,0.0,0.0,49780900225578.69,900157790991948.5
TENAGA KESEHATAN,2033,0.0,0.0,0.0,1285920056457564.8,2.7802782161301564e+16
TENAGA KESEHATAN,2034,0.0,0.0,0.0,6.7406361372228744e+16,2.1745649656109484e+18
TENAGA KESEHATAN,2035,0.0,0.0,0.0,5.212214960870474e+18,2.1711757136487884e+20
TENAGA PENGAJAR,2026,208981.37071996657,0.0,762435.9804756066,296081.3200882695,316379.45376889774
TENAGA PENGAJAR,2027,0.0,0.0,12162950.19938562,3439149.18504655,6765532.782351014
TENAGA PENGAJAR,2028,0.0,0.0,98434613.19222365,39858071.62238247,130932851.55271363
TENAGA PENGAJAR,2029,0.0,0.0,790242391.6061522,496308956.600374,2433008799.4038935
TENAGA PENGAJAR,2030,0.0,0.0,1240609642.9666505,6033092273.281723,50363125772.82384
TENAGA PENGAJAR,2031,0.0,0.0,0.0,99412063552.7939,1444621890118.9634
TENAGA PENGAJAR,2032,0.0,0.0,0.0,566285138471.8346,5662736738863.835
TENAGA PENGAJAR,2033,0.0,0.0,0.0,6178744981377.185,96466430381189.36
TENAGA PENGAJAR,2034,0.0,0.0,0.0,78297743525059.77,1567438174579409.5
TENAGA PENGAJAR,2035,0.0,-0.0,0.0,1036859725580511.9,2.1010329642184172e+16
WIRASWASTA,2026,1056072.796813286,0.0,2494461.714541755,1165220.863497385,956992.3062073286
WIRASWASTA,2027,749180.8810272953,0.0,4510773.5873536235,1613874.3174754507,2102190.754025391
WIRASWASTA,2028,260533.23790345696,0.0,7013595.2221585885,2255469.9111815533,4374523.294663279
WIRASWASTA,2029,0.0,0.0,9717258.256637082,3332129.6595326145,9278797.326490983
WIRASWASTA,2030,0.0,0.0,12597790.787743658,4736619.372584967,17508977.998222128
WIRASWASTA,2031,0.0,0.0,12162887.792136442,6149826.2865095595,24296043.45294247
WIRASWASTA,2032,0.0,-0.0,13306667.265789816,9504873.895546727,48212430.73226416
WIRASWASTA,2033,0.0,0.0,9921160.14495493,14995669.579898736,97784013.99424262
WIRASWASTA,2034,0.0,-0.0,6933226.461050047,22999368.04830065,184305992.07439345
WIRASWASTA,2035,0.0,0.0,4541445.67994383,30025594.82702311,294946588.62301886
